GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
49,25.0,9.3,3.6,7.8,46.2,0.2,0.5,11.9,2.3,3.2,74.9,1.2,2.1,3.3,2.0,1.0,0.2,1.6,1
75,40.6,19.5,7.5,15.9,50.2,0.9,2.8,32.5,2.9,4.3,64.7,2.4,5.1,7.8,2.7,1.9,0.8,3.0,1
52,19.0,11.9,4.3,9.9,41.7,0.6,2.1,57.8,2.4,3.1,79.9,0.2,0.8,1.0,3.7,1.1,-0.2,2.8,1
49,9.4,1.9,0.7,1.8,39.0,0.0,0.2,11.7,0.6,0.8,79.1,0.4,1.0,1.5,1.3,0.5,0.1,1.1,1
39,16.6,5.0,2.0,4.3,48.3,0.2,0.9,16.6,0.9,1.3,67.2,1.3,3.7,4.6,0.6,0.6,0.8,1.2,0
67,19.1,6.7,2.4,6.3,38.9,0.9,2.5,37.7,0.7,0.8,84.0,0.2,2.2,2.0,2.1,0.3,0.2,1.4,1
47,6.4,1.8,0.7,2.4,32.0,-0.7,-1.8,8.7,0.3,0.3,78.9,0.2,0.4,0.7,0.1,0.1,0.0,0.2,1
42,27.0,9.6,3.7,9.6,35.7,0.6,1.8,32.0,1.7,2.1,73.7,1.7,3.7,5.1,2.0,1.1,0.5,1.5,1
59,12.3,4.7,2.0,4.2,44.8,-0.4,-1.1,-24.2,0.9,1.5,54.2,1.2,2.2,3.3,2.4,0.5,0.2,1.1,1
43,10.6,1.9,0.8,2.5,36.9,0.3,0.7,34.5,0.1,0.2,57.5,0.5,1.1,1.6,0.3,0.2,0.3,0.4,1
55,29.2,11.2,3.8,11.5,30.6,0.9,2.6,35.5,2.1,2.9,70.6,0.9,2.6,3.7,2.9,1.0,0.5,2.2,1
61,21.8,9.4,2.9,6.9,41.8,0.8,2.1,36.6,2.9,3.7,87.2,0.7,1.2,2.1,1.9,0.4,0.3,1.0,1
85,26.3,12.1,5.5,10.2,54.8,0.0,-0.3,15.4,1.9,2.6,77.5,1.2,2.8,3.8,1.4,0.5,0.7,1.5,0
82,11.3,4.3,1.7,4.7,38.5,-0.1,-0.1,-2.8,0.7,0.9,70.6,0.6,1.5,2.1,0.4,0.3,0.2,1.1,0
44,11.9,5.4,2.1,3.9,51.7,0.1,0.1,-1.2,1.4,2.4,65.4,2.4,2.5,4.8,0.3,0.2,0.5,1.0,1
37,7.3,2.4,0.9,2.0,47.9,-0.1,-0.2,16.0,0.4,0.9,60.4,0.6,1.6,2.3,0.1,0.3,0.4,0.5,0
79,29.1,11.0,4.5,8.6,53.9,0.0,0.4,1.8,2.0,3.7,39.7,3.1,4.2,7.2,2.3,0.8,0.7,2.2,1
87,34.7,15.9,5.8,12.9,44.3,0.8,2.3,30.5,3.4,4.1,90.6,1.8,3.4,5.3,4.2,1.0,0.3,2.7,1
34,16.4,5.1,2.1,5.1,41.5,0.3,1.3,15.3,0.8,1.2,64.1,0.8,1.2,2.1,1.8,0.6,0.3,1.2,1
47,6.8,1.8,0.7,1.8,37.9,-0.1,-0.2,22.5,0.3,0.6,49.6,0.9,1.3,2.1,0.2,0.2,0.0,0.4,1
82,31.1,13.1,4.6,8.8,54.0,0.1,0.5,-2.7,4.7,6.8,64.5,3.4,4.9,8.2,0.8,1.0,1.2,2.0,1
40,8.5,2.0,0.8,2.0,41.7,0.0,-0.3,24.5,0.3,0.4,65.2,0.3,1.1,1.4,0.7,0.3,0.0,0.5,1
91,36.1,12.6,4.8,10.5,46.0,0.5,1.8,41.7,1.9,2.6,69.0,2.3,6.2,8.3,1.2,1.0,0.7,1.9,1
37,11.1,3.9,1.4,3.5,38.1,0.2,0.7,30.7,1.1,1.5,77.8,0.2,1.1,1.1,1.8,0.2,0.2,1.3,0
45,16.9,8.3,3.1,7.5,42.1,0.4,1.2,37.9,1.6,2.1,75.1,1.1,1.3,2.4,1.1,0.6,0.0,1.1,0
34,9.4,2.8,1.1,2.8,38.3,0.3,0.8,9.5,0.5,1.0,56.5,0.5,1.0,1.4,1.5,0.2,-0.4,0.8,1
39,28.9,15.3,5.9,13.7,42.2,0.0,0.3,24.1,3.0,4.3,64.6,2.3,4.5,6.9,0.5,0.5,0.7,1.8,1
44,21.6,10.5,4.4,9.2,47.4,0.6,1.6,13.1,1.3,2.2,60.5,1.4,2.6,4.0,0.7,0.3,0.4,1.1,1
97,31.3,11.3,4.5,9.3,47.0,0.9,2.3,55.3,1.5,2.1,70.7,1.2,4.7,6.1,3.6,1.2,0.5,1.5,1
76,24.0,8.9,3.0,6.7,47.2,0.4,1.3,23.5,2.4,3.7,67.1,1.2,3.6,5.0,1.3,0.6,0.4,1.5,1
39,17.6,9.2,4.1,8.9,43.2,0.5,1.5,42.2,0.8,1.1,75.6,0.6,1.0,1.6,3.4,1.0,0.1,1.9,0
52,15.4,4.6,1.8,4.7,40.5,0.5,1.2,21.2,0.6,1.0,65.0,1.6,2.3,4.0,0.4,0.4,0.3,0.8,0
32,11.0,4.1,1.4,2.8,46.0,-0.1,-0.6,8.2,1.7,2.7,61.9,1.1,1.4,2.3,0.6,0.5,0.5,0.8,1
68,27.4,12.8,5.4,12.5,40.7,0.4,1.2,30.4,2.8,3.3,79.4,0.7,2.1,2.6,3.0,1.1,0.3,1.9,1
56,21.9,7.5,2.8,5.5,52.1,0.5,1.5,12.4,1.3,1.9,70.1,1.6,4.3,6.3,1.5,1.0,1.7,1.3,1
53,28.6,9.1,3.4,8.3,41.4,1.0,2.8,49.1,1.6,2.4,72.9,0.6,2.2,2.7,1.6,0.7,0.3,1.4,0
43,8.5,4.7,1.7,3.7,45.4,0.1,0.4,1.6,1.3,1.9,72.6,0.5,0.9,1.5,0.9,0.4,0.3,1.2,1
60,16.3,4.2,1.7,3.6,44.9,0.2,0.6,51.9,0.7,1.0,67.8,0.6,2.2,2.8,0.9,0.6,-0.1,0.6,1
42,6.9,1.8,0.7,1.6,47.3,-0.4,-0.6,-9.1,0.6,0.8,65.9,0.5,0.7,1.1,0.7,0.4,0.2,0.5,1
57,16.3,3.6,1.2,3.8,34.5,0.2,0.8,14.5,0.9,0.9,82.5,0.5,2.4,2.7,1.1,0.4,0.2,1.1,1
33,7.6,2.7,0.9,2.4,39.1,0.4,1.2,9.8,1.0,1.4,69.1,0.2,0.5,0.8,0.7,0.9,-0.5,0.7,1
59,11.5,3.9,1.4,2.7,51.0,0.1,0.2,-4.6,0.8,1.6,56.4,2.2,2.1,4.2,0.3,0.4,0.4,0.6,1
78,13.1,3.9,1.5,3.6,42.1,0.7,1.7,21.8,0.6,0.9,67.9,0.3,1.1,1.3,2.8,0.8,0.3,1.7,1
19,9.8,2.4,0.9,2.1,44.4,0.4,1.2,6.7,0.3,0.4,60.5,0.2,1.4,1.5,0.7,0.2,0.1,0.8,1
39,14.2,4.7,2.1,4.3,47.3,0.4,1.3,48.6,0.5,0.9,70.3,0.3,0.6,1.1,2.0,1.4,0.0,0.7,1
52,14.2,4.7,2.0,4.1,48.6,0.0,0.0,11.9,1.0,1.2,79.5,0.2,1.8,1.9,0.7,0.3,-0.1,0.9,0
67,10.0,5.1,1.9,4.9,39.0,0.4,1.3,5.6,1.0,1.5,66.4,0.7,1.4,2.1,0.4,0.4,0.2,0.8,1
58,27.4,12.0,4.7,11.3,43.4,0.6,1.7,16.0,1.9,3.1,59.3,1.8,4.6,6.9,1.4,0.5,0.4,1.5,1
70,14.9,7.4,3.2,5.7,52.9,-0.3,-0.8,26.2,1.4,2.3,63.2,2.2,2.6,4.6,0.2,0.5,0.5,0.8,1
21,13.5,4.5,1.9,5.7,33.5,1.2,3.8,34.1,0.2,0.3,77.1,0.1,0.5,0.6,2.0,0.5,0.0,0.8,0
19,7.0,2.8,1.0,2.2,45.7,-0.5,-1.4,18.7,0.8,1.2,69.3,0.8,1.2,1.8,0.3,0.4,0.3,0.6,1
74,25.7,14.4,6.0,13.2,46.4,0.4,0.9,16.1,2.1,2.8,76.5,1.0,3.7,5.2,0.6,0.2,0.2,1.2,1
79,20.0,7.1,2.9,5.4,53.8,-0.2,-1.0,-13.1,1.6,2.6,65.9,3.9,4.3,8.5,0.4,0.4,0.5,0.8,1
56,29.0,14.5,5.7,12.8,44.1,0.4,1.1,15.2,2.2,3.0,78.5,0.7,2.4,3.2,2.8,1.1,0.1,2.3,1
80,26.6,8.8,3.5,6.9,50.1,-0.1,-0.4,28.1,1.8,2.8,64.9,2.3,3.7,6.0,1.1,1.0,0.2,1.6,1
73,15.1,3.5,1.1,3.4,33.4,0.8,2.4,26.1,0.9,1.2,66.8,0.5,1.3,1.9,0.8,0.5,0.1,0.7,1
53,20.1,7.4,2.9,7.5,37.7,0.5,1.6,25.2,1.2,1.8,61.9,0.4,1.3,1.7,4.0,1.5,0.2,1.9,1
75,19.9,5.5,2.2,5.5,39.1,0.0,0.0,10.2,1.4,2.5,63.3,1.9,2.4,4.3,2.5,1.1,0.3,1.3,1
63,25.9,9.8,4.2,8.1,53.0,0.1,0.5,16.4,1.6,2.5,61.1,1.0,2.0,2.9,2.7,0.7,0.2,2.0,1
74,13.5,9.3,2.8,7.3,38.5,0.6,1.9,32.3,3.5,4.1,90.8,0.3,0.6,1.0,4.3,1.2,-0.3,2.6,1
31,11.1,2.4,0.9,2.9,30.0,0.8,2.8,16.0,0.4,0.3,90.4,0.1,0.5,0.6,1.7,0.7,0.1,0.6,1
64,13.5,6.0,2.1,4.0,52.5,0.0,0.2,-1.3,1.9,2.2,85.2,1.3,2.0,3.1,0.2,0.3,0.3,0.5,1
73,29.2,16.0,6.0,14.6,42.8,0.8,2.2,22.3,2.9,3.7,82.1,1.4,4.4,5.9,2.6,0.9,1.0,3.2,1
76,28.9,11.6,4.7,10.3,44.4,0.8,2.2,-0.8,1.4,1.6,76.0,1.3,4.6,6.0,0.8,0.6,0.2,1.0,1
75,26.5,12.1,4.5,9.8,43.1,1.1,3.0,39.7,1.9,2.8,66.2,1.3,2.3,3.4,3.9,1.7,0.0,1.5,1
75,28.7,10.1,3.6,9.9,34.6,1.1,3.5,39.5,1.4,1.9,75.6,0.0,1.0,0.9,5.2,2.0,0.0,3.1,1
53,9.9,5.1,1.6,4.6,35.7,0.4,1.5,27.1,1.4,2.2,61.0,0.8,1.0,1.7,0.7,0.3,0.2,0.7,1
80,22.0,6.7,2.6,5.5,46.7,0.4,1.0,6.7,1.2,2.0,70.5,1.5,2.7,4.0,1.5,0.6,0.4,1.8,1
76,30.5,13.9,5.0,10.1,49.1,0.2,0.9,37.8,3.3,4.6,73.6,1.3,4.8,5.9,4.6,1.0,0.3,2.6,0
88,32.9,14.6,5.6,13.1,42.0,0.5,1.6,32.6,2.3,2.9,82.7,2.2,4.4,6.6,2.2,0.8,0.1,1.9,1
77,18.4,6.8,2.5,6.1,39.6,0.4,1.2,11.0,1.7,1.9,82.1,0.5,2.0,2.4,4.5,0.6,0.1,1.6,1
59,17.7,9.0,3.3,7.3,43.5,0.3,1.1,17.3,2.1,2.7,76.1,0.9,1.9,2.8,1.8,0.6,0.3,1.8,1
16,4.9,1.4,0.6,1.4,41.9,-0.4,-1.2,-4.4,0.2,0.3,55.9,0.5,0.3,0.7,0.5,0.2,0.1,0.4,0
85,32.5,14.0,5.4,11.2,49.2,0.0,0.2,-15.9,2.6,4.3,59.2,3.0,4.3,7.9,2.7,1.0,0.2,2.3,1
47,15.6,4.4,1.8,5.1,35.7,0.2,1.0,18.5,0.6,1.0,70.2,0.6,1.9,2.6,1.5,0.5,0.3,0.9,1
53,15.5,5.3,2.0,5.4,38.8,0.3,0.9,21.9,1.0,1.2,69.0,1.0,1.4,2.4,0.8,0.5,0.3,0.8,0
89,19.7,9.0,3.2,6.9,46.7,-0.2,-0.1,16.9,3.0,3.2,99.9,1.4,1.7,2.9,2.5,0.9,0.3,1.3,1
40,14.3,4.8,1.6,3.7,41.6,0.7,2.0,29.4,1.1,1.1,91.2,0.5,1.1,1.6,0.7,0.8,0.1,0.5,0
91,46.6,24.5,9.1,21.1,44.8,0.8,2.3,39.4,5.0,7.0,68.5,1.5,4.1,5.7,5.2,1.8,0.7,5.1,1
85,13.9,5.3,1.7,4.6,36.9,0.4,1.4,28.4,1.9,2.8,66.0,0.8,1.0,1.8,2.2,0.8,0.1,1.6,1
73,16.7,7.8,3.0,5.4,54.0,-0.3,-0.4,6.4,2.1,2.8,69.9,1.0,2.1,3.1,1.3,0.5,0.6,1.5,1
75,27.0,9.4,3.7,7.1,52.7,0.1,0.2,5.8,2.4,3.6,66.0,3.3,4.5,7.9,0.6,0.9,2.6,1.4,1
39,5.4,1.7,0.6,1.5,40.2,-0.2,-0.2,2.1,0.6,0.9,66.9,0.2,0.5,0.8,0.2,0.2,0.1,0.7,1
101,32.5,13.0,4.8,9.6,51.6,0.4,1.0,16.2,2.6,3.9,68.2,1.2,3.4,4.8,4.3,1.5,0.4,1.9,1
72,15.1,6.7,2.6,5.8,43.7,0.4,1.1,12.9,1.0,1.4,77.8,1.3,2.0,3.4,0.4,0.4,0.2,1.2,1
50,15.4,5.1,1.7,4.6,37.6,0.8,2.2,18.1,1.1,1.7,64.8,0.3,0.9,1.2,1.9,0.4,0.0,0.9,1
96,22.3,9.5,3.9,9.4,38.7,-0.1,0.2,29.9,1.7,2.9,53.7,1.8,2.2,3.6,3.1,0.9,0.1,2.2,1
48,15.9,7.6,2.9,6.7,40.9,0.3,1.1,20.9,1.3,2.2,65.7,0.4,0.9,1.2,4.9,0.7,-0.3,2.2,0
59,14.4,4.6,1.9,3.6,52.4,0.4,0.6,23.3,0.6,0.8,69.3,0.6,1.2,1.7,1.1,0.3,0.3,0.8,1
76,24.7,10.1,4.2,7.4,55.5,-0.1,-0.6,10.2,1.7,2.9,64.1,2.7,6.5,9.2,1.3,0.3,1.7,1.2,1
70,10.4,1.7,0.7,1.9,36.3,-0.4,-0.8,-7.7,0.4,0.7,69.5,0.9,1.5,2.2,0.9,0.7,0.3,0.7,1
64,10.8,3.6,1.4,3.6,39.9,0.5,1.2,16.6,0.3,0.4,78.3,0.3,1.1,1.6,0.8,0.3,-0.1,0.3,1
64,22.1,6.1,2.4,4.6,50.0,-0.2,-0.3,4.6,1.4,2.2,59.5,2.7,4.2,6.8,0.7,0.5,0.3,1.0,1
48,18.3,8.7,2.8,6.8,44.4,0.4,1.1,48.0,2.1,2.8,81.7,0.7,1.0,1.8,1.2,0.6,-0.2,1.0,1
89,33.4,17.0,6.3,13.5,48.1,0.9,2.5,31.3,3.4,4.0,88.2,1.0,1.6,2.6,4.9,1.3,0.1,2.6,1
56,10.7,4.7,1.7,3.6,47.2,0.3,0.7,33.9,1.0,1.3,76.9,0.3,0.8,1.1,1.0,0.1,-0.1,0.9,1
78,22.9,9.9,4.0,10.3,39.3,0.9,2.5,44.9,0.8,1.3,67.3,0.6,1.8,2.3,1.3,1.0,0.2,1.3,1
67,7.8,2.7,1.1,2.6,42.5,-0.3,-0.8,15.2,0.6,0.8,68.1,0.7,0.6,1.2,0.6,0.6,-0.2,0.4,1
53,32.3,9.7,3.5,7.3,48.6,0.2,0.8,13.2,3.0,4.1,69.0,1.0,2.9,3.8,4.7,1.4,0.3,3.0,1
70,25.0,9.9,3.6,9.8,35.0,0.6,2.1,36.2,1.8,2.1,89.5,1.1,3.3,4.6,3.1,1.0,0.2,1.9,1
38,6.4,1.5,0.6,1.4,42.7,-0.2,-0.5,-3.1,0.4,0.6,64.4,0.3,1.1,1.4,0.5,0.2,0.2,0.3,1
86,30.7,10.0,4.2,10.0,40.6,0.1,0.5,26.4,1.5,2.3,64.6,1.7,3.1,5.1,2.3,1.3,0.4,1.4,1
55,46.7,18.1,6.8,14.7,45.8,0.2,0.6,1.8,4.2,5.4,82.6,3.6,5.9,9.7,1.8,1.4,0.8,2.7,1
52,12.5,4.8,1.8,3.5,50.7,0.6,1.4,34.0,0.7,1.4,54.4,1.1,1.3,2.2,0.5,0.3,0.2,0.7,1
50,19.2,8.1,3.6,6.9,50.3,0.2,0.6,-6.3,1.2,1.8,69.1,0.8,1.9,2.7,2.4,0.6,0.1,1.9,0
88,12.8,8.0,3.0,6.0,51.4,-0.1,-0.2,4.2,1.5,2.1,71.1,0.5,1.5,2.1,1.1,0.2,0.0,1.0,1
79,18.1,9.5,4.0,9.0,43.2,-0.2,-0.4,25.4,1.6,2.6,66.2,2.6,3.5,6.5,0.6,0.3,0.6,1.2,1
51,18.2,8.8,2.9,7.0,42.0,0.3,1.0,16.9,3.0,3.6,82.3,1.0,2.2,3.1,1.1,0.4,0.2,1.2,1
67,12.9,4.2,1.6,4.2,37.0,-0.2,-0.4,4.7,1.1,1.5,75.3,0.7,0.7,1.5,2.0,0.6,0.2,1.7,1
62,18.3,9.7,3.1,7.7,41.8,0.3,1.0,27.4,3.6,4.1,94.8,0.8,1.8,2.5,3.0,0.7,0.4,1.9,1
67,13.4,9.5,3.2,7.4,43.1,1.0,2.6,41.1,2.5,3.4,76.0,0.8,1.3,2.3,1.5,0.5,0.1,1.5,0
59,17.7,3.9,1.3,3.3,41.4,0.5,1.8,23.7,1.1,1.9,56.5,0.9,2.2,3.1,2.4,1.0,0.4,1.4,0
84,22.2,10.0,3.6,8.9,38.9,0.7,2.2,5.6,2.2,3.3,74.6,1.0,1.8,2.9,2.3,0.7,0.4,1.7,1
67,33.5,12.8,4.4,10.5,40.1,0.8,2.0,24.2,3.3,5.6,55.6,1.5,4.0,5.8,3.1,1.9,0.6,2.0,1
89,34.6,12.4,5.0,9.7,51.9,0.1,0.2,31.1,2.2,3.7,58.9,3.5,5.2,8.6,2.6,1.1,0.9,2.6,1
94,25.0,13.5,5.6,12.8,45.1,0.0,0.1,24.4,2.5,3.1,78.6,1.2,3.6,4.7,2.8,1.0,0.6,2.7,1
35,16.3,3.9,1.5,3.1,49.5,-0.1,0.1,-20.3,0.7,1.1,68.0,1.6,2.6,3.9,0.5,0.5,1.0,0.6,1
59,8.8,2.8,1.1,2.5,42.0,0.3,0.6,20.8,0.5,0.6,66.9,0.4,0.6,1.1,0.5,0.3,-0.1,0.4,1
75,19.0,8.2,3.4,8.2,42.4,0.2,0.5,19.2,1.1,1.7,74.0,0.8,1.2,1.9,1.9,0.3,0.1,1.3,1
82,23.6,11.2,3.9,11.0,36.2,0.8,2.8,48.0,1.5,1.9,80.4,0.1,1.2,1.3,2.0,0.9,-0.2,1.7,1
86,29.8,10.9,4.2,9.2,47.1,0.2,0.5,22.0,1.6,1.9,86.7,1.4,3.4,5.0,3.1,1.0,0.1,2.1,1
62,17.4,7.4,3.4,6.2,54.2,-0.3,-0.6,28.9,0.9,1.2,75.6,2.1,2.5,4.3,0.9,0.5,0.5,0.9,1
76,37.0,14.2,5.5,12.3,44.2,-0.3,-0.7,-5.6,4.3,5.7,74.7,2.1,5.9,8.0,4.4,1.1,0.2,3.8,1
59,12.2,2.9,1.1,2.5,45.5,0.6,1.4,33.4,0.2,0.4,70.9,0.3,1.6,1.9,1.0,0.4,0.2,0.5,1
98,24.1,7.7,2.9,5.7,50.1,0.1,0.4,20.8,1.5,2.3,70.4,2.3,2.8,5.1,1.2,1.0,0.4,1.2,1
80,25.7,12.0,5.3,11.3,45.7,-0.1,0.0,4.5,1.6,2.7,66.5,0.9,2.3,3.3,4.4,1.1,0.2,4.0,1
91,28.6,16.8,6.3,13.2,48.2,0.7,2.1,21.8,3.7,4.5,88.4,1.3,1.9,3.1,3.4,1.4,0.3,2.8,1
80,33.1,18.1,7.1,15.6,47.1,0.4,1.3,37.4,3.5,5.6,62.6,1.8,3.8,5.7,3.6,2.0,0.4,2.8,1
61,48.1,19.6,7.7,15.5,49.8,0.1,0.4,0.9,4.4,6.3,76.6,3.8,7.5,11.2,2.2,1.4,0.5,2.8,1
49,12.9,4.0,1.4,3.8,35.3,0.3,1.2,9.5,1.1,1.7,72.1,0.5,1.1,1.7,0.6,0.6,0.1,0.5,1
72,22.5,8.0,3.2,7.3,42.4,0.0,0.0,16.9,1.2,2.1,49.9,2.4,5.3,7.7,1.1,1.1,0.3,1.3,1
82,36.4,17.4,7.1,15.2,48.5,0.3,0.9,18.5,2.7,3.8,71.2,2.6,3.7,6.1,1.2,1.0,0.4,2.8,1
73,17.2,7.5,2.8,5.8,47.1,0.0,0.2,-6.2,2.5,3.7,67.7,1.2,1.3,2.4,1.8,1.0,0.0,1.8,1
69,17.4,5.2,2.1,3.8,52.5,-0.1,-0.4,-10.8,1.0,1.5,67.0,2.3,3.5,5.5,0.5,0.5,1.1,1.2,1
51,21.8,7.1,2.9,6.4,45.3,-0.2,-0.4,38.8,1.4,2.1,65.4,1.2,2.5,3.9,0.9,1.2,0.4,1.0,1
47,4.0,1.0,0.4,1.1,38.7,-0.8,-2.0,-11.1,0.2,0.3,69.6,0.3,0.5,0.9,0.2,0.1,-0.3,0.3,1
69,15.7,6.4,2.6,6.6,38.8,0.3,1.0,16.3,1.0,1.7,56.5,0.5,1.2,1.8,2.3,0.6,0.2,1.7,1
85,28.4,9.1,3.7,9.5,38.1,0.4,1.0,35.1,1.2,1.3,91.0,1.6,2.8,4.3,2.0,0.8,0.4,1.6,1
77,29.0,13.1,5.2,14.6,35.0,0.4,1.4,45.3,2.3,2.3,100.7,0.7,3.3,3.9,2.8,1.0,0.2,2.7,1
57,22.9,16.1,5.9,11.4,51.4,0.9,2.5,48.3,2.5,3.1,79.5,1.9,2.5,4.6,1.0,0.5,0.4,1.0,1
47,11.4,4.1,1.7,4.7,37.5,0.2,1.2,27.5,0.5,0.8,57.2,1.1,1.3,2.5,0.3,0.4,0.4,0.8,0
56,9.4,3.6,0.9,3.2,29.3,0.8,2.1,29.0,1.6,1.9,75.4,0.0,0.4,0.5,3.9,0.7,-0.4,2.2,1
46,16.2,7.0,2.8,6.4,46.6,0.6,1.5,39.0,1.0,1.2,75.7,0.5,1.4,2.0,1.9,1.0,-0.4,1.1,1
78,16.3,4.9,1.6,4.2,38.3,0.6,1.4,53.1,0.9,1.2,78.9,0.3,0.6,0.8,2.4,1.0,-0.3,0.5,1
32,12.3,3.5,1.3,3.3,38.6,0.5,1.4,0.3,0.4,0.7,63.6,0.9,1.6,2.5,0.2,0.4,0.3,0.9,0
40,16.9,5.3,2.0,4.8,40.9,1.3,3.7,28.8,0.8,1.1,72.0,0.2,1.0,1.2,1.0,0.7,0.1,1.2,1
63,15.3,4.4,1.3,3.9,36.0,0.4,1.6,28.8,1.2,1.5,78.1,0.8,1.5,2.1,1.2,0.6,0.1,0.8,1
71,20.6,6.1,2.5,4.9,49.3,-0.2,-0.4,20.4,1.6,2.6,64.4,1.3,3.9,5.4,1.4,0.6,0.7,1.4,1
78,24.7,10.0,3.4,8.4,38.6,1.0,2.5,46.6,2.0,2.6,80.9,0.6,2.4,3.2,2.4,0.9,0.4,2.0,1
66,20.7,10.5,3.5,7.2,50.0,0.6,1.7,13.5,3.8,5.1,72.8,0.9,1.9,3.0,2.6,1.3,0.2,2.5,1
75,40.6,20.2,8.2,20.1,39.6,0.8,2.4,40.7,3.1,4.4,71.6,0.5,2.1,2.6,6.1,1.1,0.2,4.3,1
50,8.2,3.4,1.2,2.2,54.0,-0.4,-1.0,0.1,1.4,2.9,38.6,2.2,1.3,3.3,0.1,0.3,0.3,0.6,1
55,15.6,3.3,1.1,2.4,44.4,0.6,1.8,32.0,0.7,1.0,72.7,1.1,2.3,3.3,1.0,0.5,0.3,0.8,0
73,22.4,9.8,4.0,9.4,43.8,0.7,1.9,36.5,1.2,1.3,80.0,1.0,1.8,2.9,2.3,1.0,0.2,1.9,1
85,24.4,8.5,3.0,7.0,39.6,0.7,1.9,41.0,2.1,2.4,92.1,0.3,1.5,1.7,5.0,1.1,-0.1,2.3,1
80,15.7,5.8,2.2,5.1,40.7,0.0,-0.2,17.1,1.4,2.0,71.7,1.1,1.9,3.1,1.2,0.3,0.3,1.8,1
94,16.1,9.1,3.4,7.6,45.9,1.3,3.1,53.4,1.1,1.4,78.2,0.6,1.6,2.1,1.4,0.4,0.3,1.2,1
97,31.9,8.7,3.4,9.2,35.4,0.2,1.0,14.6,1.8,2.1,85.2,0.4,2.6,2.6,4.0,1.1,0.1,2.2,1
79,22.1,14.3,6.7,12.9,53.1,-0.4,-1.1,18.8,2.0,3.4,58.8,3.5,2.8,5.7,1.3,0.5,0.5,2.0,1
96,18.4,9.9,4.1,7.6,52.8,0.0,-0.1,18.6,2.1,3.2,63.7,2.1,3.0,5.0,0.7,0.4,0.4,1.9,1
77,19.6,6.8,2.6,5.7,45.4,-0.1,-0.3,14.9,1.8,2.4,76.4,0.6,2.3,2.9,2.8,0.5,0.1,1.4,1
73,29.6,12.2,5.6,11.2,49.8,0.1,1.0,6.6,1.3,2.1,64.7,3.5,5.0,8.4,1.8,0.5,0.4,1.8,1
73,32.4,10.0,3.5,8.7,41.3,0.4,1.2,12.7,2.6,3.4,80.0,1.2,5.5,6.8,1.7,0.6,2.2,1.6,1
79,18.9,8.4,3.2,6.8,46.2,0.1,0.4,11.8,2.4,3.7,64.2,1.9,1.7,3.4,1.4,0.5,0.2,1.5,1
62,6.5,1.2,0.5,1.3,38.3,-0.6,-1.8,5.9,0.2,0.3,59.1,0.3,0.6,0.9,0.4,0.2,0.0,0.4,1
72,16.3,7.4,3.4,5.4,60.7,-0.4,-1.2,-1.7,1.2,2.0,57.4,3.5,3.4,6.5,0.4,0.3,0.5,1.0,1
64,13.0,3.7,1.4,4.4,33.2,0.8,2.3,33.6,0.4,0.6,64.5,0.6,1.5,2.1,1.0,0.3,0.3,0.9,0
61,21.2,7.1,2.5,4.5,54.4,0.2,0.6,38.9,1.9,2.5,76.2,1.3,3.4,4.7,1.4,0.6,0.3,1.1,1
54,11.6,4.0,1.7,3.6,48.1,-0.1,-0.2,24.5,0.6,0.9,65.6,0.7,0.8,1.4,0.5,0.4,0.2,0.9,1
91,35.1,16.4,6.5,13.7,49.0,0.4,1.1,11.6,3.0,3.5,80.6,2.9,5.2,8.4,1.9,0.5,0.6,1.9,1
40,4.0,0.9,0.4,1.1,34.8,-0.2,-0.4,34.2,0.0,0.0,61.8,0.1,0.2,0.4,1.0,0.1,-2.2,0.3,1
30,10.1,2.4,0.9,2.4,37.3,0.4,1.5,27.8,0.4,0.4,83.1,0.2,0.7,1.0,0.9,0.3,-1.0,0.4,0
65,29.9,15.3,5.4,10.9,52.4,0.2,0.7,-2.2,4.0,5.6,75.3,1.0,1.5,2.6,1.8,1.1,0.2,2.3,0
105,33.3,14.0,6.1,11.4,55.9,0.1,0.2,18.9,2.2,3.1,74.7,1.9,3.4,5.4,1.1,1.1,0.7,1.7,1
67,21.6,8.8,3.2,6.9,45.8,0.1,0.3,23.5,2.0,2.6,76.8,2.5,3.9,6.7,0.7,0.4,0.3,1.2,1
51,16.1,10.2,3.8,8.1,45.8,0.2,0.3,1.0,2.1,2.8,71.0,1.0,2.1,3.1,0.9,0.4,0.7,1.3,1
66,28.0,9.8,4.6,8.2,57.8,0.1,0.3,6.4,1.3,2.5,55.4,1.9,3.3,5.4,1.4,0.6,0.5,1.3,0
92,23.5,6.1,2.5,6.0,42.4,0.2,0.5,26.1,0.7,0.9,78.3,1.6,3.4,5.1,1.8,0.3,0.2,1.1,1
50,9.0,4.0,1.6,3.5,44.3,0.3,0.7,14.7,0.4,0.6,69.5,1.1,1.2,2.2,0.4,0.2,0.1,0.6,0
70,21.2,11.2,4.1,8.7,46.9,0.3,0.8,3.1,3.0,3.8,81.1,1.3,1.4,2.7,1.4,0.7,0.2,1.4,1
43,9.6,3.6,1.5,3.7,38.8,0.3,1.1,30.0,0.4,0.4,87.8,0.1,0.4,0.6,1.9,0.4,-0.2,0.3,1
